Date : 2026-04-17 22:23:18
Directory : d:\Projects\C\cleonos
Total : 194 files,  26202 codes, 12 comments, 6631 blanks, all 32845 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        102 |     20,551 |          8 |      5,426 |     25,985 |
| Markdown         |         30 |      1,698 |          0 |        438 |      2,136 |
| Python           |          8 |      1,418 |          2 |        262 |      1,682 |
| C++              |         38 |      1,131 |          0 |        240 |      1,371 |
| CMake            |          6 |        882 |          0 |        152 |      1,034 |
| PowerShell       |          1 |        171 |          2 |         42 |        215 |
| Go Assembly      |          2 |        148 |          0 |         20 |        168 |
| Makefile         |          1 |        100 |          0 |         22 |        122 |
| YAML             |          1 |         48 |          0 |         10 |         58 |
| Rust             |          2 |         44 |          0 |         15 |         59 |
| Properties       |          1 |          6 |          0 |          1 |          7 |
| Batch            |          1 |          4 |          0 |          2 |          6 |
| pip requirements |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |        194 |     26,202 |         12 |      6,631 |     32,845 |
| . (Files)                                                     |          4 |        899 |          0 |        178 |      1,077 |
| .github                                                       |          1 |         48 |          0 |         10 |         58 |
| .github\workflows                                             |          1 |         48 |          0 |         10 |         58 |
| cleonos                                                       |         75 |     10,444 |          5 |      2,698 |     13,147 |
| cleonos\c                                                     |         74 |     10,421 |          5 |      2,689 |     13,115 |
| cleonos\c (Files)                                             |          1 |          3 |          4 |          2 |          9 |
| cleonos\c\apps                                                |         69 |      9,933 |          1 |      2,578 |     12,512 |
| cleonos\c\apps (Files)                                        |         62 |      6,326 |          1 |      1,634 |      7,961 |
| cleonos\c\apps\shell                                          |          7 |      3,607 |          0 |        944 |      4,551 |
| cleonos\c\include                                             |          2 |        198 |          0 |         14 |        212 |
| cleonos\c\src                                                 |          2 |        287 |          0 |         95 |        382 |
| cleonos\rust                                                  |          1 |         23 |          0 |          9 |         32 |
| cleonos\rust\src                                              |          1 |         23 |          0 |          9 |         32 |
| clks                                                          |         69 |     11,430 |          3 |      3,003 |     14,436 |
| clks\arch                                                     |          4 |        160 |          0 |         22 |        182 |
| clks\arch\aarch64                                             |          1 |          6 |          0 |          1 |          7 |
| clks\arch\x86_64                                              |          3 |        154 |          0 |         21 |        175 |
| clks\drivers                                                  |          7 |        721 |          0 |        183 |        904 |
| clks\drivers\audio                                            |          1 |        101 |          0 |         25 |        126 |
| clks\drivers\serial                                           |          1 |         52 |          0 |         16 |         68 |
| clks\drivers\video                                            |          5 |        568 |          0 |        142 |        710 |
| clks\include                                                  |         32 |        741 |          0 |        179 |        920 |
| clks\include\clks                                             |         32 |        741 |          0 |        179 |        920 |
| clks\kernel                                                   |         23 |      9,708 |          3 |      2,590 |     12,301 |
| clks\lib                                                      |          2 |         79 |          0 |         23 |        102 |
| clks\rust                                                     |          1 |         21 |          0 |          6 |         27 |
| clks\rust\src                                                 |          1 |         21 |          0 |          6 |         27 |
| cmake                                                         |          5 |        267 |          0 |         64 |        331 |
| configs                                                       |          1 |          6 |          0 |          1 |          7 |
| docs                                                          |         27 |      1,465 |          0 |        351 |      1,816 |
| ramdisk                                                       |          1 |          4 |          0 |          2 |          6 |
| ramdisk\shell                                                 |          1 |          4 |          0 |          2 |          6 |
| scripts                                                       |          1 |        171 |          2 |         42 |        215 |
| wine                                                          |         10 |      1,468 |          2 |        282 |      1,752 |
| wine (Files)                                                  |          3 |         53 |          1 |         23 |         77 |
